"Kod";"Jednostka terytorialna";"Zakres przedmiotowy";"Lata";"Jednostka miary";"Wartość";
"1465000";"Powiat m. st. Warszawa";"ludność na 1 km2";"2002";"osoba";3266;
"1465000";"Powiat m. st. Warszawa";"ludność na 1 km2";"2003";"osoba";3269;
"1465000";"Powiat m. st. Warszawa";"ludność na 1 km2";"2004";"osoba";3275;
"1465000";"Powiat m. st. Warszawa";"ludność na 1 km2";"2005";"osoba";3284;
"1465000";"Powiat m. st. Warszawa";"ludność na 1 km2";"2006";"osoba";3291;
"1465000";"Powiat m. st. Warszawa";"ludność na 1 km2";"2007";"osoba";3300;
"1465000";"Powiat m. st. Warszawa";"ludność na 1 km2";"2008";"osoba";3306;
"1465000";"Powiat m. st. Warszawa";"ludność na 1 km2";"2009";"osoba";3315;
"1465000";"Powiat m. st. Warszawa";"ludność na 1 km2";"2010";"osoba";3287;
"1465000";"Powiat m. st. Warszawa";"ludność na 1 km2";"2011";"osoba";3303;
"1465000";"Powiat m. st. Warszawa";"ludność na 1 km2";"2012";"osoba";3317;
"1465000";"Powiat m. st. Warszawa";"ludność na 1 km2";"2013";"osoba";3334;
"1465000";"Powiat m. st. Warszawa";"ludność na 1 km2";"2014";"osoba";3355;
"1465011";"M.st.Warszawa (1)";"ludność na 1 km2";"2002";"osoba";3266;
"1465011";"M.st.Warszawa (1)";"ludność na 1 km2";"2003";"osoba";3269;
"1465011";"M.st.Warszawa (1)";"ludność na 1 km2";"2004";"osoba";3275;
"1465011";"M.st.Warszawa (1)";"ludność na 1 km2";"2005";"osoba";3284;
"1465011";"M.st.Warszawa (1)";"ludność na 1 km2";"2006";"osoba";3291;
"1465011";"M.st.Warszawa (1)";"ludność na 1 km2";"2007";"osoba";3300;
"1465011";"M.st.Warszawa (1)";"ludność na 1 km2";"2008";"osoba";3306;
"1465011";"M.st.Warszawa (1)";"ludność na 1 km2";"2009";"osoba";3315;
"1465011";"M.st.Warszawa (1)";"ludność na 1 km2";"2010";"osoba";3287;
"1465011";"M.st.Warszawa (1)";"ludność na 1 km2";"2011";"osoba";3303;
"1465011";"M.st.Warszawa (1)";"ludność na 1 km2";"2012";"osoba";3317;
"1465011";"M.st.Warszawa (1)";"ludność na 1 km2";"2013";"osoba";3334;
"1465011";"M.st.Warszawa (1)";"ludność na 1 km2";"2014";"osoba";3355;
"1465028";"Bemowo - dzielnica (8)";"ludność na 1 km2";"2002";"osoba";4195;
"1465028";"Bemowo - dzielnica (8)";"ludność na 1 km2";"2003";"osoba";4211;
"1465028";"Bemowo - dzielnica (8)";"ludność na 1 km2";"2004";"osoba";4230;
"1465028";"Bemowo - dzielnica (8)";"ludność na 1 km2";"2005";"osoba";4259;
"1465028";"Bemowo - dzielnica (8)";"ludność na 1 km2";"2006";"osoba";0;
"1465028";"Bemowo - dzielnica (8)";"ludność na 1 km2";"2007";"osoba";0;
"1465028";"Bemowo - dzielnica (8)";"ludność na 1 km2";"2008";"osoba";4447;
"1465028";"Bemowo - dzielnica (8)";"ludność na 1 km2";"2009";"osoba";4532;
"1465028";"Bemowo - dzielnica (8)";"ludność na 1 km2";"2010";"osoba";4585;
"1465028";"Bemowo - dzielnica (8)";"ludność na 1 km2";"2011";"osoba";4644;
"1465028";"Bemowo - dzielnica (8)";"ludność na 1 km2";"2012";"osoba";4676;
"1465028";"Bemowo - dzielnica (8)";"ludność na 1 km2";"2013";"osoba";4665;
"1465028";"Bemowo - dzielnica (8)";"ludność na 1 km2";"2014";"osoba";4732;
"1465038";"Białołęka - dzielnica (8)";"ludność na 1 km2";"2002";"osoba";820;
"1465038";"Białołęka - dzielnica (8)";"ludność na 1 km2";"2003";"osoba";897;
"1465038";"Białołęka - dzielnica (8)";"ludność na 1 km2";"2004";"osoba";961;
"1465038";"Białołęka - dzielnica (8)";"ludność na 1 km2";"2005";"osoba";1022;
"1465038";"Białołęka - dzielnica (8)";"ludność na 1 km2";"2006";"osoba";0;
"1465038";"Białołęka - dzielnica (8)";"ludność na 1 km2";"2007";"osoba";0;
"1465038";"Białołęka - dzielnica (8)";"ludność na 1 km2";"2008";"osoba";1177;
"1465038";"Białołęka - dzielnica (8)";"ludność na 1 km2";"2009";"osoba";1223;
"1465038";"Białołęka - dzielnica (8)";"ludność na 1 km2";"2010";"osoba";1268;
"1465038";"Białołęka - dzielnica (8)";"ludność na 1 km2";"2011";"osoba";1322;
"1465038";"Białołęka - dzielnica (8)";"ludność na 1 km2";"2012";"osoba";1372;
"1465038";"Białołęka - dzielnica (8)";"ludność na 1 km2";"2013";"osoba";1433;
"1465038";"Białołęka - dzielnica (8)";"ludność na 1 km2";"2014";"osoba";1493;
"1465048";"Bielany - dzielnica (8)";"ludność na 1 km2";"2002";"osoba";4259;
"1465048";"Bielany - dzielnica (8)";"ludność na 1 km2";"2003";"osoba";4231;
"1465048";"Bielany - dzielnica (8)";"ludność na 1 km2";"2004";"osoba";4211;
"1465048";"Bielany - dzielnica (8)";"ludność na 1 km2";"2005";"osoba";4193;
"1465048";"Bielany - dzielnica (8)";"ludność na 1 km2";"2006";"osoba";0;
"1465048";"Bielany - dzielnica (8)";"ludność na 1 km2";"2007";"osoba";0;
"1465048";"Bielany - dzielnica (8)";"ludność na 1 km2";"2008";"osoba";4149;
"1465048";"Bielany - dzielnica (8)";"ludność na 1 km2";"2009";"osoba";4137;
"1465048";"Bielany - dzielnica (8)";"ludność na 1 km2";"2010";"osoba";4111;
"1465048";"Bielany - dzielnica (8)";"ludność na 1 km2";"2011";"osoba";4103;
"1465048";"Bielany - dzielnica (8)";"ludność na 1 km2";"2012";"osoba";4093;
"1465048";"Bielany - dzielnica (8)";"ludność na 1 km2";"2013";"osoba";4089;
"1465048";"Bielany - dzielnica (8)";"ludność na 1 km2";"2014";"osoba";4080;
