"Kod";"Jednostka terytorialna";"Kierunki wykorzystania powierzchni";"Lata";"Jednostka miary";"Wartość";
"1465011";"M.st.Warszawa (1)";"ogółem";"2014";"ha";51724;
"1465011";"M.st.Warszawa (1)";"użytki rolne razem";"2014";"ha";11813;
"1465011";"M.st.Warszawa (1)";"użytki rolne - grunty orne";"2014";"ha";8791;
"1465011";"M.st.Warszawa (1)";"użytki rolne - sady";"2014";"ha";223;
"1465011";"M.st.Warszawa (1)";"użytki rolne - łąki trwałe";"2014";"ha";1468;
"1465011";"M.st.Warszawa (1)";"użytki rolne - pastwiska trwałe";"2014";"ha";721;
"1465011";"M.st.Warszawa (1)";"użytki rolne - grunty rolne zabudowane";"2014";"ha";476;
"1465011";"M.st.Warszawa (1)";"użytki rolne - grunty pod stawami";"2014";"ha";0;
"1465011";"M.st.Warszawa (1)";"użytki rolne - grunty pod rowami";"2014";"ha";134;
"1465011";"M.st.Warszawa (1)";"grunty leśne oraz zadrzewione i zakrzewione razem";"2014";"ha";8778;
"1465011";"M.st.Warszawa (1)";"grunty leśne oraz zadrzewione i zakrzewione - lasy";"2014";"ha";8022;
"1465011";"M.st.Warszawa (1)";"grunty leśne oraz zadrzewione i zakrzewione - grunty zadrzewione i zakrzewione";"2014";"ha";756;
"1465011";"M.st.Warszawa (1)";"grunty pod wodami razem";"2014";"ha";1735;
"1465011";"M.st.Warszawa (1)";"grunty pod wodami morskimi wewnętrznymi";"2014";"ha";0;
"1465011";"M.st.Warszawa (1)";"grunty pod wodami powierzchniowymi płynącymi";"2014";"ha";1627;
"1465011";"M.st.Warszawa (1)";"grunty pod wodami powierzchniowymi stojącymi";"2014";"ha";108;
"1465011";"M.st.Warszawa (1)";"grunty zabudowane i zurbanizowane razem";"2014";"ha";28646;
"1465011";"M.st.Warszawa (1)";"grunty zabudowane i zurbanizowane - tereny mieszkaniowe";"2014";"ha";9486;
